id,detalle_id,sucursal,fecha,periodo,producto,tipo,valor,token_original,multiplicador,posicion
56,44,Principal,2023-12-31,2023-12,Migada Guisado de Carne,GUISADO,Papa con Huevo,Papa con Huevo,1,2
57,45,Principal,2023-12-31,2023-12,Enchiladas Mixtas,EXTRA,Bistec (1 pza.),Bistec (1 pza.),1,1
58,45,Principal,2023-12-31,2023-12,Enchiladas Mixtas,COMPOSICION,Salsa para Entomatadas,Salsa para Entomatadas,1,2
59,45,Principal,2023-12-31,2023-12,Enchiladas Mixtas,COMPOSICION,Salsa para Enchiladas Picosas,Salsa para Enchiladas Picosas,1,3
60,46,Principal,2023-12-31,2023-12,Entomatadas,EXTRA,Bistec (1 pza.),Bistec (1 pza.),1,1
61,46,Principal,2023-12-31,2023-12,Entomatadas,EXTRA,Huevo Revuelto (p/relleno),Huevo Revuelto (p/relleno),1,2
62,47,Principal,2023-12-31,2023-12,1/2 Entomatadas,EXTRA,Bistec (1 pza.),Bistec (1 pza.),1,1
63,48,Principal,2023-12-31,2023-12,Enchiladas Rojas,EXTRA,Huevo Revuelto (2 pzas.),Huevo Revuelto (2 pzas.),1,1
64,49,Principal,2023-12-31,2023-12,Entomatadas,EXTRA,Bistec (1 pza.),Bistec (1 pza.),1,1
65,49,Principal,2023-12-31,2023-12,Entomatadas,PETICION,Sin Tomate,Sin Tomate,1,2
66,50,Principal,2023-12-31,2023-12,Enmoladas,EXTRA,Bistec (1 pza.),Bistec (1 pza.),1,1
67,50,Principal,2023-12-31,2023-12,Enmoladas,PETICION,Sin Tomate,Sin Tomate,1,2
68,51,Principal,2023-12-31,2023-12,1/2 Enchiladas Rojas,GUISADO,Huevo Verde,Huevo Verde,1,1
69,51,Principal,2023-12-31,2023-12,1/2 Enchiladas Rojas,EXTRA,Queso,Queso,2,2
70,52,Principal,2023-12-31,2023-12,Migada Guisado Normal,GUISADO,Huevo Verde,Huevo Verde,1,1
71,52,Principal,2023-12-31,2023-12,Migada Guisado Normal,GUISADO,Huevo Cascabel,Huevo Cascabel,1,2
72,53,Principal,2023-12-31,2023-12,Tacos de Harina,GUISADO,Huevo Cascabel,Huevo Cascabel,1,1
73,54,Principal,2023-12-31,2023-12,Refresco 600 ml.,VARIANTE,Escuis Piña,Escuis Piña,1,1
74,55,Principal,2023-12-31,2023-12,1/2 Enchiladas Rojas,PETICION,Sin Frijoles,Sin Frijoles,1,1
75,56,Principal,2023-12-31,2023-12,Bocoles,GUISADO,Bistec con Papas,Bistec con Papas,1,1
76,57,Principal,2023-12-31,2023-12,1/2 Entomatadas,EXTRA,Huevo Revuelto (2 pzas.),Huevo Revuelto (2 pzas.),1,1
77,58,Principal,2023-12-31,2023-12,Plátano Frito,VARIANTE,Crema,Crema,1,1
78,58,Principal,2023-12-31,2023-12,Plátano Frito,GUISADO,Queso,Queso,1,2
79,59,Principal,2023-12-31,2023-12,Bocoles,GUISADO,Nopal,Nopal,1,1
80,61,Principal,2023-12-31,2023-12,1/2 Enchiladas Picositas,EXTRA,Huevo Revuelto (2 pzas.),Huevo Revuelto (2 pzas.),1,1
81,62,Principal,2023-12-31,2023-12,Migada Guisado de Carne,GUISADO,Huevo Verde,Huevo Verde,1,1
82,62,Principal,2023-12-31,2023-12,Migada Guisado de Carne,GUISADO,Molida,Molida,1,2
83,64,Principal,2023-12-31,2023-12,Migada Guisado de Carne,GUISADO,Barbacoa,Barbacoa,1,1
84,64,Principal,2023-12-31,2023-12,Migada Guisado de Carne,GUISADO,Deshebrada,Deshebrada,1,2
85,65,Principal,2023-12-31,2023-12,Tacos de Harina,GUISADO,Barbacoa,Barbacoa,1,1
86,66,Principal,2023-12-31,2023-12,Migada Guisado de Carne,GUISADO,Deshebrada,Deshebrada,1,1
87,66,Principal,2023-12-31,2023-12,Migada Guisado de Carne,GUISADO,Chicharrón,Chicharrón,1,2
88,68,Principal,2023-12-31,2023-12,Bocoles,GUISADO,Barbacoa,Barbacoa,1,1
89,70,Principal,2023-12-31,2023-12,Refresco 600 ml.,VARIANTE,Delaware,Delaware,1,1
90,71,Principal,2023-12-31,2023-12,Gorditas,GUISADO,Frijoles,Frijoles,1,1
91,72,Principal,2023-12-31,2023-12,Migada Guisado de Carne,GUISADO,Papa con Chorizo,Papa con Chorizo,1,1
92,72,Principal,2023-12-31,2023-12,Migada Guisado de Carne,GUISADO,Bistec con Papas,Bistec con Papas,1,2
93,73,Principal,2023-12-31,2023-12,Entomatadas,EXTRA,Bistec (1 pza.),Bistec (1 pza.),1,1
94,74,Principal,2023-12-31,2023-12,Migada Guisado de Carne,GUISADO,Barbacoa,Barbacoa,1,1
95,74,Principal,2023-12-31,2023-12,Migada Guisado de Carne,GUISADO,Papa con Chorizo,Papa con Chorizo,1,2
96,74,Principal,2023-12-31,2023-12,Migada Guisado de Carne,PETICION,Poca Lechuga,Poca Lechuga,1,3
97,75,Principal,2023-12-31,2023-12,Migada Guisado Normal,GUISADO,Huevo Rojo,Huevo Rojo,1,1
98,75,Principal,2023-12-31,2023-12,Migada Guisado Normal,GUISADO,Huevo Verde,Huevo Verde,1,2
99,76,Principal,2023-12-31,2023-12,Pieza de Pan,VARIANTE,Pan Chico Pieza,Pan Chico Pieza,1,1
100,77,Principal,2023-12-31,2023-12,Refresco 355 ml.,VARIANTE,Coca Cola,Coca Cola,1,1
101,79,Principal,2023-12-31,2023-12,Empanadas (4 pzas.),GUISADO,Chicharrón,Chicharrón,4,1
102,80,Principal,2023-12-31,2023-12,Empanadas (4 pzas.),GUISADO,Molida,Molida,2,1
103,80,Principal,2023-12-31,2023-12,Empanadas (4 pzas.),EXTRA,Queso,Queso,2,2
104,81,Principal,2023-12-31,2023-12,1/2 Entomatadas,EXTRA,Huevo Revuelto (2 pzas.),Huevo Revuelto (2 pzas.),1,1
105,82,Principal,2023-12-31,2023-12,Migada Guisado Normal,GUISADO,Papa con Huevo,Papa con Huevo,1,1
106,83,Principal,2023-12-31,2023-12,Bocoles,GUISADO,Frijoles,Frijoles,1,1
107,84,Principal,2023-12-31,2023-12,1/2 Entomatadas,EXTRA,Huevo Estrellado Tierno (2 pzas.),Huevo Estrellado Tierno (2 pzas.),1,1
108,85,Principal,2023-12-31,2023-12,Quesadillas (4 pzas.),PETICION,Sin Verduras,Sin Verduras,1,1
109,86,Principal,2023-12-31,2023-12,Tacos de Maiz,GUISADO,Papa con Chorizo,Papa con Chorizo,1,1
110,87,Principal,2023-12-31,2023-12,Tacos de Maiz,GUISADO,Huevo Verde,Huevo Verde,1,1
111,88,Principal,2023-12-31,2023-12,Tacos de Maiz,GUISADO,Chicharrón,Chicharrón,1,1
112,89,Principal,2023-12-31,2023-12,Enchiladas Mixtas,COMPOSICION,Salsa para Enchiladas Rojas,Salsa para Enchiladas Rojas,1,1
113,89,Principal,2023-12-31,2023-12,Enchiladas Mixtas,COMPOSICION,Salsa para Enmoladas,Salsa para Enmoladas,1,2
114,89,Principal,2023-12-31,2023-12,Enchiladas Mixtas,EXTRA,Huevo Estrellado Medio (2 pzas.),Huevo Estrellado Medio (2 pzas.),1,3
115,90,Principal,2023-12-31,2023-12,Refresco 600 ml.,VARIANTE,Coca Cola Sin Azúcar,Coca Sin Azúcar,1,1
116,91,Principal,2023-12-31,2023-12,Servicio a Dom.,CANT_SURTIDO,15,15,1,1
117,92,Principal,2023-12-31,2023-12,Tacos de Harina,GUISADO,Queso,Queso,1,1
118,93,Principal,2023-12-31,2023-12,Tacos de Harina,GUISADO,Huevo Rojo,Huevo Rojo,1,1
119,94,Principal,2023-12-31,2023-12,Gorditas,GUISADO,Nopal,Nopal,1,1
120,95,Principal,2023-12-31,2023-12,Gorditas,GUISADO,Cochinita,Cochinita,1,1
121,97,Principal,2023-12-31,2023-12,Encremadas,EXTRA,Bistec (1 pza.),Bistec (1 pza.),1,1
122,98,Principal,2023-12-31,2023-12,1/2 Empanadas (2 pzas.),GUISADO,Barbacoa,Barbacoa,1,1
123,98,Principal,2023-12-31,2023-12,1/2 Empanadas (2 pzas.),GUISADO,Chicharrón,Chicharrón,1,2
124,99,Principal,2023-12-31,2023-12,Tacos de Harina,GUISADO,Cochinita,Cochinita,1,1
125,100,Principal,2023-12-31,2023-12,Tacos de Maiz,GUISADO,Barbacoa,Barbacoa,1,1
126,101,Principal,2023-12-31,2023-12,Tacos de Harina,GUISADO,Chicharrón,Chicharrón,1,1
127,102,Principal,2023-12-31,2023-12,Tacos de Harina,GUISADO,Papa con Chorizo,Papa con Chorizo,1,1
128,103,Principal,2023-12-31,2023-12,Tacos de Harina,GUISADO,Frijoles con Queso,Frijoles con Queso,1,1
129,104,Principal,2023-12-31,2023-12,1/2 Enchiladas Rojas,EXTRA,Huevo Revuelto (2 pzas.),Huevo Revuelto (2 pzas.),1,1
130,105,Principal,2023-12-31,2023-12,1/2 Entomatadas,PETICION,Sin Crema,Sin Crema,1,1
131,106,Principal,2023-12-31,2023-12,Bocoles,GUISADO,Queso,Queso,1,1
132,107,Principal,2023-12-31,2023-12,Enchiladas Mixtas,EXTRA,Huevo Revuelto (2 pzas.),Huevo Revuelto (2 pzas.),1,1
133,107,Principal,2023-12-31,2023-12,Enchiladas Mixtas,COMPOSICION,Salsa para Entomatadas,Salsa para Entomatadas,1,2
134,107,Principal,2023-12-31,2023-12,Enchiladas Mixtas,COMPOSICION,Salsa para Enchiladas Rojas,Salsa para Enchiladas Rojas,1,3
135,108,Principal,2023-12-31,2023-12,Migada Guisado de Carne,GUISADO,Huevo Verde,Huevo Verde,1,1
136,108,Principal,2023-12-31,2023-12,Migada Guisado de Carne,GUISADO,Chicharrón,Chicharrón,1,2
137,109,Principal,2023-12-31,2023-12,Bocoles,GUISADO,Huevo Rojo,Huevo Rojo,1,1
138,110,Principal,2023-12-31,2023-12,Gorditas,GUISADO,Papa,Papa,1,1
139,111,Principal,2023-12-31,2023-12,Enchiladas Rojas,PETICION,Sin Crema,Sin Crema,1,1
140,112,Principal,2023-12-31,2023-12,Enchiladas Rojas,EXTRA,Huevo Revuelto (p/relleno),Huevo Revuelto (p/relleno),1,1
141,112,Principal,2023-12-31,2023-12,Enchiladas Rojas,PETICION,Sin Crema,Sin Crema,1,2
142,115,Principal,2023-12-31,2023-12,Refresco 600 ml.,VARIANTE,Coca Cola,Coca Cola,1,1
143,116,Principal,2023-12-31,2023-12,1/2 Empanadas (2 pzas.),GUISADO,Papa con Chorizo,Papa con Chorizo,1,1
144,116,Principal,2023-12-31,2023-12,1/2 Empanadas (2 pzas.),GUISADO,Bistec con Papas,Bistec con Papas,1,2
145,117,Principal,2023-12-31,2023-12,Gorditas,GUISADO,Pollo con Mole,Pollo con Mole,1,1
146,118,Principal,2023-12-31,2023-12,Gorditas,GUISADO,Requeson,Requeson,1,1
147,119,Principal,2023-12-31,2023-12,Tacos de Maiz,GUISADO,Huevo Cascabel,Huevo Cascabel,1,1
148,120,Principal,2023-12-31,2023-12,Tacos de Maiz,GUISADO,Deshebrada,Deshebrada,1,1
149,121,Principal,2023-12-31,2023-12,Tacos de Maiz,GUISADO,Molida,Molida,1,1
150,122,Principal,2023-12-31,2023-12,Tacos de Maiz,GUISADO,Bistec con Papas,Bistec con Papas,1,1
151,123,Principal,2023-12-31,2023-12,Tacos de Harina,GUISADO,Huevo Verde,Huevo Verde,1,1
152,126,Principal,2023-12-31,2023-12,Entomatadas,EXTRA,Huevo Revuelto (2 pzas.),Huevo Revuelto (2 pzas.),1,1
153,127,Principal,2023-12-31,2023-12,Bocoles,GUISADO,Papa con Huevo,Papa con Huevo,1,1
154,128,Principal,2023-12-31,2023-12,1/2 Empanadas (2 pzas.),GUISADO,Huevo Verde,Huevo Verde,1,1
155,128,Principal,2023-12-31,2023-12,1/2 Empanadas (2 pzas.),GUISADO,Deshebrada,Deshebrada,1,2
156,130,Principal,2023-12-31,2023-12,Bocoles,GUISADO,Cochinita,Cochinita,1,1
157,131,Principal,2023-12-31,2023-12,Bocoles,GUISADO,Huevo Cascabel,Huevo Cascabel,1,1
158,132,Principal,2023-12-31,2023-12,Gorditas,GUISADO,Huevo Cascabel,Huevo Cascabel,1,1
159,133,Principal,2023-12-31,2023-12,Gorditas,GUISADO,Requesón Picosito,Requesón Picosito,1,1
160,135,Principal,2023-12-31,2023-12,Bocoles,GUISADO,Requeson,Requeson,1,1
161,136,Principal,2023-12-31,2023-12,Bocoles,GUISADO,Molida,Molida,1,1
162,137,Principal,2023-12-31,2023-12,Bocoles,GUISADO,Huevo con Chorizo,Huevo con Chorizo,1,1
163,138,Principal,2023-12-31,2023-12,Tacos de Harina,GUISADO,Deshebrada,Deshebrada,1,1
164,139,Principal,2023-12-31,2023-12,Gorditas,GUISADO,Huevo con Nopal,Huevo con Nopal,1,1
165,140,Principal,2023-12-31,2023-12,Bocoles,GUISADO,Huevo Verde,Huevo Verde,1,1
166,140,Principal,2023-12-31,2023-12,Bocoles,EXTRA,Frijoles,Frijoles,1,2
167,143,Principal,2023-12-31,2023-12,Gorditas,GUISADO,Molida,Molida,1,1
168,144,Principal,2023-12-31,2023-12,Bocoles,GUISADO,Deshebrada,Deshebrada,1,1
169,145,Principal,2023-12-31,2023-12,Bocoles,GUISADO,Requesón Picosito,Requesón Picosito,1,1
170,146,Principal,2023-12-31,2023-12,Bocoles,GUISADO,Pollo con Mole,Pollo con Mole,1,1
171,147,Principal,2023-12-31,2023-12,Enchiladas Rojas,EXTRA,Huevo Estrellado Tierno (2 pzas.),Huevo Estrellado Tierno (2 pzas.),1,1
172,148,Principal,2023-12-31,2023-12,Gorditas,GUISADO,Huevo Rojo,Huevo Rojo,1,1
173,149,Principal,2023-12-31,2023-12,1/2 Empanadas (2 pzas.),PETICION,Sin Crema,Sin Crema,1,1
174,149,Principal,2023-12-31,2023-12,1/2 Empanadas (2 pzas.),GUISADO,Huevo Cascabel,Huevo Cascabel,1,2
175,149,Principal,2023-12-31,2023-12,1/2 Empanadas (2 pzas.),GUISADO,Asado,Asado,1,3
176,152,Principal,2023-12-31,2023-12,1/2 Quesadillas (2 pzas.),PETICION,Sin Crema,Sin Crema,1,1
177,153,Principal,2023-12-31,2023-12,Quesadillas (4 pzas.),EXTRA,Huevo Estrellado Medio (2 pzas.),Huevo Estrellado (2 pzas.),1,1
178,154,Principal,2023-12-31,2023-12,Gorditas,GUISADO,Deshebrada,Deshebrada,1,1
179,155,Principal,2023-12-31,2023-12,Gorditas,GUISADO,Huevo con Chorizo,Huevo con Chorizo,1,1
180,156,Principal,2023-12-31,2023-12,Gorditas,GUISADO,Frijoles con Queso,Frijoles con Queso,1,1
181,157,Principal,2023-12-31,2023-12,Gorditas,GUISADO,Papa con Chorizo,Papa con Chorizo,1,1
182,158,Principal,2023-12-31,2023-12,Gorditas,GUISADO,Bistec con Papas,Bistec con Papas,1,1
183,159,Principal,2023-12-31,2023-12,Gorditas,GUISADO,Huevo Verde,Huevo Verde,1,1
184,160,Principal,2023-12-31,2023-12,Gorditas,GUISADO,Chicharrón,Chicharrón,1,1
185,161,Principal,2023-12-31,2023-12,Gorditas,GUISADO,Papa con Huevo,Papa con Huevo,1,1
186,162,Principal,2023-12-31,2023-12,Bisquet,VARIANTE,Mantequilla,Mantequilla,1,1
187,163,Principal,2023-12-31,2023-12,Entomatadas,EXTRA,Bistec (1 pza.),Bistec (1 pza.),1,1
188,165,Principal,2023-12-31,2023-12,1/2 Encremadas,EXTRA,Bistec (1 pza.),Bistec (1 pza.),1,1
189,166,Principal,2023-12-31,2023-12,Tacos de Harina,GUISADO,Huevo con Chorizo,Huevo con Chorizo,1,1
190,167,Principal,2023-12-31,2023-12,Tacos de Harina,GUISADO,Pollo con Mole,Pollo con Mole,1,1
191,170,Principal,2023-12-31,2023-12,Quesadillas (4 pzas.),VARIANTE,Naturales,Naturales,1,1
192,171,Principal,2023-12-31,2023-12,Empanadas (4 pzas.),GUISADO,Queso,Queso,4,1
193,172,Principal,2023-12-31,2023-12,Bocoles,GUISADO,Huevo Verde,Huevo Verde,1,1
194,173,Principal,2023-12-31,2023-12,Bocoles,GUISADO,Frijoles con Queso,Frijoles con Queso,1,1
195,174,Principal,2023-12-31,2023-12,Bocoles,GUISADO,Papa con Chorizo,Papa con Chorizo,1,1
196,175,Principal,2023-12-31,2023-12,Bocoles,GUISADO,Asado,Asado,1,1
197,176,Principal,2023-12-31,2023-12,Bocoles,GUISADO,Chicharrón,Chicharrón,1,1
198,177,Principal,2023-12-31,2023-12,Bocoles,GUISADO,Papa,Papa,1,1
