periodo,producto,familia,unidad_venta,unidades,piezas,ingresos,ventas_brutas,renglones,extras,peticiones,ingreso_por_unidad
2025-09,Pieza Tortilla de Maíz,Guarnicion,ORDEN,6.00,,30.00,30.00,4,0,0,5.00
2025-07,Huevo Revuelto 2 pzas.,Huevos,ORDEN,5.00,,175.00,175.00,4,0,0,35.00
2026-04,Porción Frijol con Queso,Guarnicion,ORDEN,12.00,,60.00,60.00,9,0,0,5.00
2026-05,Pieza Huevo Estrellado Cocido,Huevos,ORDEN,21.00,,420.00,420.00,15,0,0,20.00
2026-02,Entomatadas,Entomatada,ORDEN,41.00,,8083.00,8083.00,39,32,13,197.15
2024-10,1/2 Enchiladas Picositas,Enchilada,ORDEN,33.00,,3894.00,3894.00,28,18,0,118.00
2026-05,Jamaica 1 Litro,Bebida,ORDEN,20.00,,1288.00,1288.00,13,0,0,64.40
2024-08,Aguacate Extra,Otros,ORDEN,6.00,,90.00,90.00,4,0,0,15.00
2024-01,Enchiladas Rojas,Enchilada,ORDEN,137.00,,18833.40,18845.00,100,77,30,137.47
2025-09,Pieza Huevo Estrellado Ciego,Huevos,ORDEN,1.00,,20.00,20.00,1,0,0,20.00
2024-09,1/2 Empanadas (2 pzas.),Empanada,ORDEN,111.00,,8977.00,8977.00,107,7,46,80.87
2024-08,1/2 Enfrijoladas,Enfrijolada,ORDEN,16.00,,1590.00,1590.00,16,8,5,99.38
2026-02,Pieza Tortilla de Harina,Guarnicion,ORDEN,4.00,,20.00,20.00,2,0,0,5.00
2023-09,Orden Huevos Estrellados,Huevos,ORDEN,3.00,,249.00,249.00,3,0,0,83.00
2024-06,Salsa Verde,Guarnicion,ORDEN,48.00,,20.00,20.00,22,0,0,0.42
2025-11,Pieza Huevo Estrellado Cocido,Huevos,ORDEN,18.00,,360.00,360.00,11,0,0,20.00
2024-12,Tacos de Harina,Taco,PIEZA,913.00,913.00,16566.00,16566.00,328,13,0,18.14
2023-09,1/2 Enchiladas Mixtas (4 Piezas),Enchilada,ORDEN,1.00,,86.00,86.00,1,0,0,86.00
2024-07,Enfrijoladas,Enfrijolada,ORDEN,10.00,,1314.00,1314.00,10,3,2,131.40
2026-01,Plátano Frito,Otros,ORDEN,24.00,,916.00,916.00,20,0,0,38.17
2025-06,Huevo Revuelto 2 pzas.,Huevos,ORDEN,1.00,,35.00,35.00,1,0,0,35.00
2025-11,Bisquet,Otros,ORDEN,154.00,,4620.00,4620.00,31,0,0,30.00
2025-09,Pieza Enchilada Roja,Enchilada,ORDEN,3.00,,75.00,75.00,3,0,0,25.00
2025-05,Salsa Habanera,Guarnicion,ORDEN,44.00,,21.00,21.00,21,0,0,0.48
2024-09,Pieza Enchilada Roja,Enchilada,ORDEN,2.00,,46.00,46.00,2,0,0,23.00
2025-05,Café con Leche,Bebida,ORDEN,944.00,,33073.00,33073.00,80,0,0,35.03
2024-04,Gorditas de Azúcar,Gordita,PIEZA,29.00,29.00,868.50,870.00,13,0,0,29.95
2025-03,Gorditas,Gordita,PIEZA,5856.00,5856.00,101171.00,101171.00,663,29,17,17.28
2026-07,Orden Huevos Revueltos,Huevos,ORDEN,6.00,,756.00,756.00,5,0,0,126.00
2026-01,1/2 Entomatadas,Entomatada,ORDEN,109.00,,13799.00,13799.00,82,56,23,126.60
2023-10,Tacos de Maiz,Taco,PIEZA,909.00,909.00,15625.05,15669.00,318,5,0,17.19
2024-03,Quesadillas (4 pzas.),Quesadilla,ORDEN,203.00,,19730.75,20327.00,88,13,100,97.20
2025-05,1/2 Empanadas (2 pzas.),Empanada,ORDEN,99.00,,9030.00,9030.00,95,17,44,91.21
2023-10,Jamaica 1 Litro,Bebida,ORDEN,68.00,,3317.80,3382.00,25,0,0,48.79
2025-01,Huevo Revuelto 2 pzas.,Huevos,ORDEN,4.00,,128.00,128.00,4,0,0,32.00
2025-07,Encremadas,Encremada,ORDEN,24.00,,4255.00,4255.00,21,13,0,177.29
2023-09,Tacos Maíz Surtidos,Taco,PIEZA,2.00,7.00,119.00,119.00,2,0,0,59.50
2026-04,Entomatadas,Entomatada,ORDEN,55.00,,10733.00,10733.00,46,39,9,195.15
2025-07,Pieza Huevo Estrellado Ciego,Huevos,ORDEN,5.00,,100.00,100.00,4,0,0,20.00
2026-05,Porción Frijol con Queso,Guarnicion,ORDEN,13.00,,65.00,65.00,9,0,0,5.00
2024-03,1/2 Encremadas,Encremada,ORDEN,34.00,,3350.00,3350.00,30,16,1,98.53
2025-01,1/2 Entomatadas,Entomatada,ORDEN,109.00,,12116.00,12195.00,93,69,38,111.16
2023-11,Horchata 1 Litro,Bebida,ORDEN,41.00,,2297.75,2306.00,17,0,0,56.04
2025-12,Horchata 1 Litro,Bebida,ORDEN,35.00,,2421.00,2421.00,21,0,0,69.17
2025-12,Pieza Extra Empanada,Empanada,ORDEN,3.00,,105.00,105.00,3,0,0,35.00
2023-09,1/2 Enfrijoladas,Enfrijolada,ORDEN,7.00,,712.00,712.00,7,4,6,101.71
2025-02,Pieza Huevo Estrellado Ciego,Huevos,ORDEN,1.00,,18.00,18.00,1,0,0,18.00
2026-03,Pieza Enfrijolada,Guarnicion,ORDEN,2.00,,60.00,60.00,1,0,0,30.00
2023-11,Huevos a la Mexicana,Huevos,ORDEN,27.00,,2241.00,2241.00,17,0,0,83.00
2026-07,Gorditas Surtidas,Gordita,PIEZA,22.00,108.00,2052.00,2052.00,15,0,0,93.27
2024-04,Orden de Guisado Normal,Guarnicion,ORDEN,5.00,,475.00,475.00,5,0,0,95.00
2026-05,Salsa Habanera,Guarnicion,ORDEN,7.00,,0.00,0.00,5,0,0,0.00
2023-11,Porción Frijol con Queso,Guarnicion,ORDEN,1.00,,5.00,5.00,1,0,0,5.00
2024-07,Pieza Tortilla de Harina,Guarnicion,ORDEN,10.00,,46.00,46.00,5,0,0,4.60
2025-05,Huevos Rancheros,Huevos,ORDEN,36.00,,4238.00,4238.00,20,0,0,117.72
2026-01,Pieza de Pan,Guarnicion,ORDEN,128.00,,3212.00,3212.00,30,0,0,25.09
2025-08,Enchiladas Rojas,Enchilada,ORDEN,81.00,,14080.00,14220.00,68,48,21,173.83
2026-06,1/2 Empanadas (2 pzas.),Empanada,ORDEN,89.00,,8515.00,8515.00,85,14,26,95.67
2026-04,Pieza Tortilla de Maíz,Guarnicion,ORDEN,6.00,,30.00,30.00,4,0,0,5.00
2024-08,Huevo Revuelto 2 pzas.,Huevos,ORDEN,6.00,,192.00,192.00,4,0,0,32.00
2025-07,Tacos Maíz Surtidos,Taco,PIEZA,2.00,8.00,160.00,160.00,2,0,0,80.00
2026-01,Gorditas,Gordita,PIEZA,5562.00,5562.00,95670.00,95838.00,634,14,23,17.20
2024-09,Agua de Jamaica - Evento,Evento,ORDEN,2.00,,550.00,550.00,1,0,0,275.00
2025-08,Pieza Huevo Estrellado Medio,Huevos,ORDEN,14.00,,280.00,280.00,11,0,0,20.00
2024-04,Enchiladas Rojas,Enchilada,ORDEN,96.00,,13335.50,13355.00,79,60,15,138.91
2025-05,Pieza Huevo Estrellado Ciego,Huevos,ORDEN,1.00,,20.00,20.00,1,0,0,20.00
2024-08,Pieza Huevo Estrellado Tierno,Huevos,ORDEN,9.00,,161.10,162.00,8,0,0,17.90
2024-05,Orden de Guisado de Carne,Guarnicion,ORDEN,3.00,,306.00,306.00,3,0,0,102.00
2024-07,Bocoles Surtidos,Bocol,PIEZA,6.00,22.00,396.00,396.00,6,0,0,66.00
2026-08,Encremadas,Encremada,ORDEN,25.00,,4893.00,4893.00,24,17,2,195.72
2025-08,Enfrijoladas,Enfrijolada,ORDEN,13.00,,2082.00,2082.00,11,2,7,160.15
2024-07,Enmoladas,Enmolada,ORDEN,35.00,,4986.00,4986.00,29,12,4,142.46
2026-02,Aguacate Extra,Otros,ORDEN,6.00,,90.00,90.00,5,0,0,15.00
2024-12,Orden de Guisado Normal,Guarnicion,ORDEN,10.00,,1140.00,1140.00,8,0,0,114.00
2025-09,Quesadillas (4 pzas.),Quesadilla,ORDEN,122.00,,16713.00,16713.00,61,5,51,136.99
2026-03,1/2 Enfrijoladas,Enfrijolada,ORDEN,22.00,,2997.00,2997.00,22,18,4,136.23
2024-07,Gorditas Surtidas,Gordita,PIEZA,21.00,118.00,1859.00,1859.00,15,0,0,88.52
2026-05,Pieza Extra Quesadilla,Quesadilla,ORDEN,8.00,,280.00,280.00,7,0,0,35.00
2025-02,Horchata Vaso,Bebida,ORDEN,133.00,,4887.00,4887.00,27,0,0,36.74
2025-10,Pieza Encremada,Encremada,ORDEN,2.00,,50.00,50.00,2,0,0,25.00
2026-01,Tacos de Harina,Taco,PIEZA,900.00,900.00,18039.00,18109.00,286,6,6,20.04
2024-12,Pieza Huevo Estrellado Medio,Huevos,ORDEN,17.00,,306.00,306.00,11,0,0,18.00
2024-02,Enmoladas,Enmolada,ORDEN,23.00,,3226.20,3235.00,22,13,5,140.27
2025-11,Limón Vaso,Bebida,ORDEN,476.00,,18105.00,18105.00,30,0,0,38.04
2025-10,1/2 Enchiladas Mixtas (4 Piezas),Enchilada,ORDEN,17.00,,2513.00,2513.00,17,11,3,147.82
2025-06,Encremadas,Encremada,ORDEN,29.00,,5339.00,5339.00,26,14,3,184.10
2026-07,1/2 Quesadillas (2 pzas.),Quesadilla,ORDEN,156.00,,13850.00,13850.00,88,9,75,88.78
2026-05,Enfrijoladas,Enfrijolada,ORDEN,11.00,,2004.00,2004.00,11,8,6,182.18
2025-03,Salsa Habanera,Guarnicion,ORDEN,23.00,,12.00,12.00,14,0,0,0.52
2026-03,Orden Huevos Estrellados,Huevos,ORDEN,17.00,,2040.00,2040.00,16,0,0,120.00
2023-10,Pieza Tortilla de Maíz,Guarnicion,ORDEN,18.00,,54.00,54.00,8,0,0,3.00
2026-04,1/2 Encremadas,Encremada,ORDEN,44.00,,6168.00,6168.00,33,23,1,140.18
2026-02,Café con Leche,Bebida,ORDEN,890.00,,37419.00,37419.00,72,0,0,42.04
2026-07,Pieza Huevo Estrellado Tierno,Huevos,ORDEN,13.00,,260.00,260.00,13,0,0,20.00
2026-06,Tacos de Maiz,Taco,PIEZA,1057.00,1057.00,23849.00,23849.00,357,13,11,22.56
2024-05,Pieza Huevo Estrellado Medio,Huevos,ORDEN,21.00,,315.00,315.00,14,0,0,15.00
2023-08,1/2 Enchiladas Rojas,Enchilada,ORDEN,17.00,,1532.00,1532.00,11,8,0,90.12
2024-05,Fuze Tea,Bebida,ORDEN,16.00,,526.35,528.00,11,0,0,32.90
2025-11,1/2 Encremadas,Encremada,ORDEN,27.00,,3516.00,3516.00,26,19,3,130.22
2026-08,Quesadillas (4 pzas.),Quesadilla,ORDEN,155.00,,22777.00,22777.00,81,7,80,146.95
2024-02,Entomatadas,Entomatada,ORDEN,85.00,,12088.00,12292.00,64,47,11,142.21
2024-07,Porción Ensalada,Guarnicion,ORDEN,2.00,,50.00,50.00,2,0,0,25.00
2025-11,Pieza Huevo Estrellado Medio,Huevos,ORDEN,11.00,,220.00,220.00,10,0,0,20.00
2024-10,Gorditas,Gordita,PIEZA,5805.00,5805.00,93203.00,93203.00,665,22,10,16.06
2024-04,Orden Huevos Estrellados,Huevos,ORDEN,4.00,,332.00,332.00,4,0,0,83.00
2023-10,Huevos con Deshebrada,Huevos,ORDEN,10.00,,950.00,950.00,10,0,0,95.00
2025-03,Encremadas,Encremada,ORDEN,23.00,,4454.00,4454.00,20,12,2,193.65
2026-03,Pieza de Pan,Guarnicion,ORDEN,128.00,,3584.00,3584.00,29,0,0,28.00
2026-09,Migada Guisado de Carne,Migada,PIEZA,52.00,52.00,7789.00,7789.00,48,1,38,149.79
2024-12,Horchata 1 Litro,Bebida,ORDEN,74.00,,4812.00,4812.00,24,0,0,65.03
2024-05,Orden Huevos Estrellados,Huevos,ORDEN,6.00,,498.00,498.00,6,0,0,83.00
2024-01,1/2 Enchiladas Picositas,Enchilada,ORDEN,37.00,,4253.70,4264.00,35,34,4,114.96
2025-10,Pieza Extra Empanada,Empanada,ORDEN,3.00,,105.00,105.00,3,0,0,35.00
2026-01,Migada Guisado Normal,Migada,PIEZA,16.00,16.00,1999.00,1999.00,16,0,7,124.94
2026-04,Pieza Encremada,Encremada,ORDEN,2.00,,60.00,60.00,2,0,0,30.00
2025-08,Enchiladas Mixtas,Enchilada,ORDEN,53.00,,10569.00,10569.00,51,39,5,199.42
2026-06,Porción Ensalada,Guarnicion,ORDEN,12.00,,300.00,300.00,8,0,0,25.00
2024-05,Salsa Verde,Guarnicion,ORDEN,37.00,,24.00,24.00,18,0,0,0.65
2024-03,Huevo Revuelto 2 pzas.,Huevos,ORDEN,1.00,,28.00,28.00,1,0,0,28.00
2026-09,Tacos de Maiz,Taco,PIEZA,139.00,139.00,3111.00,3111.00,62,4,1,22.38
2024-11,Bisquet,Otros,ORDEN,106.00,,2650.00,2650.00,32,0,0,25.00
2024-09,Pieza Enmolada,Enmolada,ORDEN,1.00,,55.00,55.00,1,1,0,55.00
2025-01,Salsa Habanera,Guarnicion,ORDEN,21.00,,12.00,12.00,16,0,0,0.57
2024-07,Brownie Oreo,Postre,ORDEN,14.00,,680.00,680.00,8,0,0,48.57
2026-09,Salsa Roja,Guarnicion,ORDEN,2.00,,20.00,20.00,1,0,0,10.00
2023-09,Gorditas,Gordita,PIEZA,3958.00,3958.00,60542.20,60684.00,562,7,5,15.30
2026-01,Huevo Estrellado 2 pzas.,Huevos,ORDEN,14.00,,490.00,490.00,12,0,0,35.00
2024-06,Enfrijoladas,Enfrijolada,ORDEN,14.00,,1820.00,1820.00,12,7,4,130.00
2026-06,Huevos a la Mexicana,Huevos,ORDEN,57.00,,6984.00,6984.00,24,0,0,122.53
2023-08,Horchata Vaso,Bebida,ORDEN,19.00,,589.00,589.00,6,0,0,31.00
2025-12,1/2 Enfrijoladas,Enfrijolada,ORDEN,34.00,,4003.00,4003.00,31,19,14,117.74
2024-10,Ciel 600 ml.,Bebida,ORDEN,47.00,,1457.00,1457.00,20,0,0,31.00
2025-11,Pieza Huevo Estrellado Ciego,Huevos,ORDEN,2.00,,40.00,40.00,2,0,0,20.00
2025-09,Enchiladas Rojas,Enchilada,ORDEN,65.00,,12294.00,12294.00,57,46,15,189.14
2025-04,Migada Guisado Normal,Migada,PIEZA,30.00,30.00,3912.00,3912.00,29,0,11,130.40
2026-04,Huevos Rancheros,Huevos,ORDEN,40.00,,4872.00,4872.00,22,0,0,121.80
2026-08,1/2 Enfrijoladas,Enfrijolada,ORDEN,25.00,,3008.00,3008.00,25,13,17,120.32
2025-07,Orden de Guisado Normal,Guarnicion,ORDEN,14.00,,1610.00,1610.00,11,0,0,115.00
2026-08,Guisado Infantil,Otros,ORDEN,8.00,,304.00,304.00,7,0,0,38.00
2023-09,Enchiladas Rojas,Enchilada,ORDEN,78.00,,9988.20,9997.00,54,41,9,128.05
2024-01,Aguacate Extra,Otros,ORDEN,1.00,,15.00,15.00,1,0,0,15.00
2026-06,Tacos de Harina,Taco,PIEZA,721.00,721.00,16276.00,16326.00,283,6,3,22.57
2024-07,Pieza Enmolada,Enmolada,ORDEN,1.00,,23.00,23.00,1,0,0,23.00
2026-03,Refresco 355 ml.,Bebida,ORDEN,79.00,,2765.00,2765.00,34,0,0,35.00
2024-07,Enchiladas Picositas,Enchilada,ORDEN,30.00,,4322.00,4476.00,27,18,3,144.07
2026-09,1/2 Enchiladas Mixtas (4 Piezas),Enchilada,ORDEN,3.00,,430.00,430.00,3,2,1,143.33
2024-07,Salsa Habanera,Guarnicion,ORDEN,17.00,,6.00,6.00,15,0,0,0.35
2025-01,Pieza Enmolada,Enmolada,ORDEN,2.00,,46.00,46.00,2,0,0,23.00
2023-08,Bocoles,Bocol,PIEZA,712.00,712.00,12270.00,12406.00,180,4,3,17.23
2025-02,Limón Vaso,Bebida,ORDEN,394.00,,14291.00,14291.00,28,0,0,36.27
2023-12,Jamaica 1 Litro,Bebida,ORDEN,84.00,,4036.20,4116.00,26,0,0,48.05
2024-04,Refresco 355 ml.,Bebida,ORDEN,76.00,,2201.10,2204.00,27,0,0,28.96
2023-11,Pieza Extra Empanada,Empanada,ORDEN,7.00,,182.00,182.00,6,0,0,26.00
2025-09,1/2 Enchiladas Mixtas (4 Piezas),Enchilada,ORDEN,10.00,,1590.00,1590.00,10,10,5,159.00
2026-03,Porción Ensalada,Guarnicion,ORDEN,7.00,,175.00,175.00,6,0,0,25.00
2026-05,Huevo Revuelto 2 pzas.,Huevos,ORDEN,2.00,,70.00,70.00,2,0,0,35.00
2026-05,Orden Huevos Revueltos,Huevos,ORDEN,5.00,,600.00,600.00,5,0,0,120.00
2024-12,Enfrijoladas,Enfrijolada,ORDEN,11.00,,1707.00,1707.00,10,6,1,155.18
2025-04,1/2 Enchiladas Picositas,Enchilada,ORDEN,34.00,,4277.00,4277.00,31,20,4,125.79
2024-08,Pieza Extra Empanada,Empanada,ORDEN,5.00,,155.00,155.00,2,0,0,31.00
2024-09,PROMO 6 surtidas,Otros,ORDEN,37.00,,3330.00,3330.00,11,0,0,90.00
2026-06,Pieza Huevo Estrellado Medio,Huevos,ORDEN,23.00,,460.00,460.00,14,0,0,20.00
2025-05,1/2 Enchiladas Mixtas (4 Piezas),Enchilada,ORDEN,17.00,,2552.00,2552.00,17,8,6,150.12
2023-10,Café con Leche,Bebida,ORDEN,469.00,,14067.00,14079.00,31,0,0,29.99
2025-01,1/2 Enchiladas Picositas,Enchilada,ORDEN,36.00,,4236.00,4236.00,28,19,2,117.67
2024-02,Pieza Tortilla de Harina,Guarnicion,ORDEN,11.00,,33.00,33.00,4,0,0,3.00
2025-09,Ciel 600 ml.,Bebida,ORDEN,59.00,,1888.00,1888.00,27,0,0,32.00
2024-01,Pieza Entomatada,Entomatada,ORDEN,1.00,,20.00,20.00,1,0,0,20.00
2023-08,1/2 Entomatadas,Entomatada,ORDEN,28.00,,2607.00,2607.00,22,13,7,93.11
2025-05,Bocoles,Bocol,PIEZA,2320.00,2320.00,46909.00,46951.00,524,15,14,20.22
2024-03,Salsa Verde,Guarnicion,ORDEN,19.00,,0.00,0.00,13,0,0,0.00
2025-11,Orden Huevos Revueltos,Huevos,ORDEN,1.00,,155.00,155.00,1,0,0,155.00
2026-08,Limón Vaso,Bebida,ORDEN,572.00,,24037.00,24037.00,29,0,0,42.02
2024-08,Bocoles Surtidos,Bocol,PIEZA,3.00,9.00,162.00,162.00,3,0,0,54.00
2024-11,1/2 Enfrijoladas,Enfrijolada,ORDEN,15.00,,1787.00,1787.00,15,12,5,119.13
2024-10,Huevos con Deshebrada,Huevos,ORDEN,21.00,,2474.00,2474.00,16,0,0,117.81
2024-12,Jamaica Vaso,Bebida,ORDEN,455.00,,15956.00,15956.00,30,0,0,35.07
2024-12,Huevos Rancheros,Huevos,ORDEN,21.00,,2434.00,2434.00,14,0,0,115.90
2025-02,Porción Leche,Guarnicion,ORDEN,1.00,,15.00,15.00,1,0,0,15.00
2025-04,Pieza Huevo Estrellado Tierno,Huevos,ORDEN,9.00,,180.00,180.00,8,0,0,20.00
2024-12,Té de Manzanilla,Bebida,ORDEN,3.00,,99.00,99.00,3,0,0,33.00
2024-10,Orden Huevos Revueltos,Huevos,ORDEN,2.00,,200.00,200.00,2,0,0,100.00
2025-12,Huevos Rancheros,Huevos,ORDEN,39.00,,4485.00,4485.00,20,0,0,115.00
2024-01,1/2 Quesadillas (2 pzas.),Quesadilla,ORDEN,74.00,,4750.00,4750.00,51,5,23,64.19
2025-06,Ciel 600 ml.,Bebida,ORDEN,51.00,,1632.00,1632.00,25,0,0,32.00
2025-04,1/2 Encremadas,Encremada,ORDEN,35.00,,4600.00,4600.00,31,18,0,131.43
2026-01,Aguacate Extra,Otros,ORDEN,13.00,,195.00,195.00,7,0,0,15.00
2024-02,Salsa Verde,Guarnicion,ORDEN,2.00,,0.00,0.00,2,0,0,0.00
2025-11,Pieza Extra Empanada,Empanada,ORDEN,3.00,,105.00,105.00,3,0,0,35.00
2026-08,Gorditas de Azúcar,Gordita,PIEZA,62.00,62.00,2604.00,2604.00,24,0,0,42.00
2023-11,PROMO 6 surtidas,Otros,ORDEN,29.00,,2436.00,2436.00,10,0,0,84.00
2026-08,Entomatadas,Entomatada,ORDEN,98.00,,18584.00,18584.00,82,59,31,189.63
2024-06,PROMO 6 surtidas,Otros,ORDEN,22.00,,1848.00,1848.00,8,0,0,84.00
2025-07,Orden de Guisado de Carne,Guarnicion,ORDEN,6.00,,780.00,780.00,6,0,0,130.00
2025-10,Zanahorias p/llevar,Otros,ORDEN,37.00,,29.00,29.00,16,0,0,0.78
2023-10,Gorditas de Azúcar,Gordita,PIEZA,51.00,51.00,1525.50,1530.00,26,0,0,29.91
2024-11,PROMO 6 surtidas,Otros,ORDEN,63.00,,5670.00,5670.00,11,0,0,90.00
2026-08,Bocoles Surtidos,Bocol,PIEZA,2.00,8.00,176.00,176.00,2,0,0,88.00
2025-01,Pieza Enchilada Picosa,Enchilada,ORDEN,1.00,,23.00,23.00,1,0,0,23.00
2024-02,Enchiladas Mixtas,Enchilada,ORDEN,35.00,,5311.20,5320.00,35,28,4,151.75
2026-04,Tacos de Harina,Taco,PIEZA,786.00,786.00,17999.00,18043.00,280,8,3,22.90
2025-04,Bisquet,Otros,ORDEN,129.00,,3870.00,3870.00,29,0,0,30.00
2025-08,Pieza Extra Empanada,Empanada,ORDEN,3.00,,105.00,105.00,2,0,0,35.00
2026-03,Aguacate Extra,Otros,ORDEN,5.00,,75.00,75.00,5,0,0,15.00
2024-01,Horchata Vaso,Bebida,ORDEN,129.00,,4009.00,4009.00,26,0,0,31.08
2025-08,1/2 Enmoladas,Enmolada,ORDEN,61.00,,7825.00,7825.00,52,34,6,128.28
2026-01,1/2 Enmoladas,Enmolada,ORDEN,39.00,,4810.00,4810.00,32,24,8,123.33
2025-09,Enchiladas Picositas,Enchilada,ORDEN,28.00,,5612.00,5612.00,26,23,2,200.43
2024-11,Salsa Habanera,Guarnicion,ORDEN,17.00,,8.00,8.00,11,0,0,0.47
2023-11,Fuze Tea,Bebida,ORDEN,8.00,,264.00,264.00,7,0,0,33.00
2026-09,Pieza Entomatada,Entomatada,ORDEN,2.00,,95.00,95.00,2,1,0,47.50
2025-07,PROMO 6 surtidas,Otros,ORDEN,41.00,,3895.00,3895.00,11,0,0,95.00
2024-01,Encremadas,Encremada,ORDEN,19.00,,2606.00,2606.00,19,14,0,137.16
2024-09,Orden Huevos Revueltos,Huevos,ORDEN,2.00,,200.00,200.00,2,0,0,100.00
2024-07,Pieza Huevo Estrellado Cocido,Huevos,ORDEN,17.00,,297.00,297.00,13,0,0,17.47
2024-10,1/2 Encremadas,Encremada,ORDEN,37.00,,4081.00,4081.00,28,18,1,110.30
2025-10,Orden de Guisado de Carne,Guarnicion,ORDEN,2.00,,260.00,260.00,2,0,0,130.00
2024-11,Té de Manzanilla,Bebida,ORDEN,1.00,,33.00,33.00,1,0,0,33.00
2024-07,Ciel 600 ml.,Bebida,ORDEN,55.00,,1623.00,1654.00,27,0,0,29.51
2025-10,Huevo Estrellado 2 pzas.,Huevos,ORDEN,2.00,,70.00,70.00,2,0,0,35.00
2024-07,Pieza Huevo Estrellado Medio,Huevos,ORDEN,18.00,,299.10,300.00,15,0,0,16.62
2024-11,Limón Vaso,Bebida,ORDEN,425.00,,14939.00,14939.00,30,0,0,35.15
2024-03,1/2 Enchiladas Rojas,Enchilada,ORDEN,152.00,,13731.30,13838.00,107,71,41,90.34
2025-11,Refresco 600 ml.,Bebida,ORDEN,434.00,,15874.00,15874.00,145,0,0,36.58
2025-11,Gorditas de Azúcar,Gordita,PIEZA,48.00,48.00,1824.00,1824.00,21,0,0,38.00
2026-02,Café Negro,Bebida,ORDEN,335.00,,14070.00,14070.00,32,0,0,42.00
2025-01,Bisquet,Otros,ORDEN,245.00,,6125.00,6125.00,37,0,0,25.00
2026-08,Refresco 600 ml.,Bebida,ORDEN,540.00,,21060.00,21060.00,182,0,0,39.00
2024-08,Pieza Extra Quesadilla,Quesadilla,ORDEN,4.00,,112.00,112.00,4,0,0,28.00
2025-02,Entomatadas,Entomatada,ORDEN,72.00,,12462.00,12462.00,57,42,14,173.08
2026-09,Enchiladas Rojas,Enchilada,ORDEN,11.00,,1903.00,1903.00,8,7,3,173.00
2024-12,PROMO 6 surtidas,Otros,ORDEN,53.00,,4770.00,4770.00,9,0,0,90.00
2024-01,Fuze Tea,Bebida,ORDEN,10.00,,330.00,330.00,9,0,0,33.00
2025-02,Orden de Guisado Normal,Guarnicion,ORDEN,5.00,,573.00,573.00,5,0,0,114.60
2026-05,Enchiladas Rojas,Enchilada,ORDEN,72.00,,13548.00,13548.00,67,44,31,188.17
2024-02,Gorditas,Gordita,PIEZA,4933.00,4933.00,75020.89,75223.00,589,11,15,15.21
2026-04,Huevos con Deshebrada,Huevos,ORDEN,40.00,,5482.00,5482.00,22,0,0,137.05
2024-09,Huevos a la Mexicana,Huevos,ORDEN,41.00,,4100.00,4100.00,21,0,0,100.00
2024-10,Pieza Huevo Estrellado Tierno,Huevos,ORDEN,9.00,,162.00,162.00,7,0,0,18.00
2025-10,Café Negro,Bebida,ORDEN,287.00,,10045.00,10045.00,40,0,0,35.00
2025-07,Pieza Huevo Estrellado Cocido,Huevos,ORDEN,6.00,,120.00,120.00,5,0,0,20.00
2026-04,Enchiladas Rojas,Enchilada,ORDEN,75.00,,14636.00,14636.00,64,54,16,195.15
2024-03,Empanadas (4 pzas.),Empanada,ORDEN,145.00,,15195.80,15566.00,139,27,46,104.80
2026-03,Fuze Tea,Bebida,ORDEN,15.00,,675.00,675.00,11,0,0,45.00
2026-02,Bisquet,Otros,ORDEN,117.00,,3510.00,3510.00,30,0,0,30.00
2023-08,Tacos de Maiz,Taco,PIEZA,224.00,224.00,3854.00,3854.00,95,1,1,17.21
2024-02,Pieza de Pan,Guarnicion,ORDEN,101.00,,2020.00,2020.00,27,0,0,20.00
2024-06,Pieza de Pan,Guarnicion,ORDEN,123.00,,2474.00,2475.00,28,0,0,20.11
2024-08,Empanadas (4 pzas.),Empanada,ORDEN,151.00,,19812.90,19819.00,147,39,51,131.21
2026-03,Jamaica 1 Litro,Bebida,ORDEN,31.00,,1991.00,1991.00,19,0,0,64.23
2026-07,Huevos Rancheros,Huevos,ORDEN,53.00,,6360.00,6360.00,24,0,0,120.00
2025-05,Enfrijoladas,Enfrijolada,ORDEN,8.00,,1525.00,1525.00,8,5,4,190.63
2026-07,Ciel 600 ml.,Bebida,ORDEN,63.00,,2205.00,2205.00,25,0,0,35.00
2023-11,Pieza Extra Quesadilla,Quesadilla,ORDEN,5.00,,115.00,115.00,5,0,0,23.00
2025-06,Huevo Estrellado 2 pzas.,Huevos,ORDEN,1.00,,35.00,35.00,1,0,0,35.00
2026-06,Migada Guisado de Carne,Migada,PIEZA,248.00,248.00,36572.00,36572.00,230,2,148,147.47
2025-08,Bistec 1 Pza.,Otros,ORDEN,6.00,,612.00,612.00,5,0,0,102.00
2026-06,Pieza Huevo Estrellado Tierno,Huevos,ORDEN,18.00,,360.00,360.00,14,0,0,20.00
2024-07,Huevo Estrellado 2 pzas.,Huevos,ORDEN,3.00,,88.00,88.00,3,0,0,29.33
2026-05,1/2 Enchiladas Rojas,Enchilada,ORDEN,210.00,,26360.00,26360.00,148,107,59,125.52
2025-05,PROMO 6 surtidas,Otros,ORDEN,51.00,,4845.00,4845.00,9,0,0,95.00
2026-05,Limón 1 Litro,Bebida,ORDEN,34.00,,2240.00,2240.00,18,0,0,65.88
2024-08,Horchata Vaso,Bebida,ORDEN,189.00,,6667.00,6667.00,29,0,0,35.28
2026-05,Orden Huevos Estrellados,Huevos,ORDEN,8.00,,996.00,996.00,8,0,0,124.50
