periodo,producto,familia,unidad_venta,unidades,piezas,ingresos,ventas_brutas,renglones,extras,peticiones,ingreso_por_unidad
2024-08,Salsa Verde,Guarnicion,ORDEN,28.00,,19.00,19.00,12,0,0,0.68
2024-08,Orden de Guisado de Carne,Guarnicion,ORDEN,13.00,,1629.00,1629.00,13,1,0,125.31
2024-06,1/2 Entomatadas,Entomatada,ORDEN,139.00,,13139.90,13146.00,91,64,27,94.53
2024-04,Aguacate Extra,Otros,ORDEN,1.00,,15.00,15.00,1,0,0,15.00
2025-01,Pieza Enchilada Roja,Enchilada,ORDEN,2.00,,46.00,46.00,2,0,0,23.00
2026-07,Enmoladas,Enmolada,ORDEN,26.00,,4933.00,4933.00,22,13,3,189.73
2023-12,1/2 Enchiladas Mixtas (4 Piezas),Enchilada,ORDEN,7.00,,852.00,852.00,6,3,0,121.71
2025-03,1/2 Quesadillas (2 pzas.),Quesadilla,ORDEN,115.00,,9837.00,9837.00,66,6,54,85.54
2024-05,Refresco 355 ml.,Bebida,ORDEN,84.00,,2436.00,2436.00,28,0,0,29.00
2025-05,Orden de Guisado Normal,Guarnicion,ORDEN,12.00,,1380.00,1380.00,6,0,0,115.00
